order_id,queue_no,customer_name,member_id,menu_name,drink_type,size,topping,sweetness_level,receive_type,payment_method,subtotal,price,wait_minutes,status
165,Q165,ลูคัส สายทอง,,คาปูชิโน่,ร้อน,L,ไข่มุก,75%,ทานที่ร้าน,เงินสด,75,75.0,8,เสร็จสิ้น
166,Q166,คลาร่า ใจดี,,อเมริกาโน่,ร้อน,S,ครีมชีส,0%,กลับบ้าน,บัตร,65,65.0,10,เสร็จสิ้น
167,Q167,คลาร่า มั่นคง,,อเมริกาโน่,ร้อน,M,ไม่มี,25%,กลับบ้าน,บัตร,55,55.0,18,เสร็จสิ้น
168,Q168,คลาร่า ใจดี,,ลาเต้,เย็น,L,ครีมชีส,100%,ทานที่ร้าน,QR Code,95,95.0,4,เสร็จสิ้น
169,Q169,ลีโอ วงศ์สว่าง,M034,มัทฉะลาเต้,ร้อน,L,เจลลี่,75%,ทานที่ร้าน,บัตร,75,71.25,10,เสร็จสิ้น
170,Q170,ลีโอ สายทอง,,เอสเพรสโซ่,เย็น,S,วิปครีม,0%,ทานที่ร้าน,QR Code,70,70.0,8,เสร็จสิ้น
171,Q171,มายา วงศ์สว่าง,M006,ลาเต้,ปั่น,M,ครีมชีส,100%,ทานที่ร้าน,QR Code,90,85.5,16,เสร็จสิ้น
172,Q172,นิโคล รักเรียน,,ลาเต้,เย็น,M,ไข่มุก,100%,กลับบ้าน,QR Code,70,70.0,15,เสร็จสิ้น
173,Q173,นิโคล ใจดี,,เอสเพรสโซ่,ร้อน,M,เจลลี่,50%,กลับบ้าน,บัตร,65,65.0,3,เสร็จสิ้น
174,Q174,คลาร่า รักเรียน,,คาปูชิโน่,เย็น,M,ไข่มุก,50%,ทานที่ร้าน,QR Code,70,70.0,15,เสร็จสิ้น
175,Q175,มายา รุ่งเรือง,,ชาไทย,เย็น,S,ไม่มี,50%,กลับบ้าน,เงินสด,50,50.0,12,เสร็จสิ้น
176,Q176,เจสซี่ ใจดี,,ลาเต้,ร้อน,M,ครีมชีส,100%,กลับบ้าน,บัตร,80,80.0,6,เสร็จสิ้น
177,Q177,มายา วงศ์สว่าง,,ลาเต้,เย็น,M,ครีมชีส,0%,ทานที่ร้าน,บัตร,85,85.0,16,เสร็จสิ้น
178,Q178,มายา มั่นคง,,ยูซุโซดา,เย็น,M,ไข่มุก,75%,กลับบ้าน,เงินสด,60,60.0,11,เสร็จสิ้น
179,Q179,ลีโอ เจริญพร,,มอคค่า,เย็น,S,เจลลี่,0%,กลับบ้าน,บัตร,60,60.0,3,เสร็จสิ้น
180,Q180,อเล็กซ์ ใจดี,M028,คาปูชิโน่,เย็น,S,ไม่มี,25%,ทานที่ร้าน,QR Code,55,52.25,13,เสร็จสิ้น
181,Q181,นิโคล รุ่งเรือง,,ยูซุโซดา,ปั่น,L,วิปครีม,100%,กลับบ้าน,บัตร,85,85.0,6,เสร็จสิ้น
182,Q182,เจสซี่ รุ่งเรือง,M046,สตรอว์เบอร์รี่โซดา,เย็น,M,ไม่มี,25%,ทานที่ร้าน,บัตร,55,52.25,6,เสร็จสิ้น
183,Q183,ลูคัส มั่นคง,M024,มอคค่า,ปั่น,M,เจลลี่,100%,กลับบ้าน,QR Code,75,71.25,4,เสร็จสิ้น
184,Q184,มายา ใจดี,,ช็อกโกแลต,ปั่น,L,ไข่มุก,50%,ทานที่ร้าน,เงินสด,85,85.0,16,เสร็จสิ้น
185,Q185,อเล็กซ์ ใจดี,,อเมริกาโน่,เย็น,L,วิปครีม,50%,ทานที่ร้าน,บัตร,85,85.0,4,เสร็จสิ้น
186,Q186,มายา มั่นคง,,ช็อกโกแลต,เย็น,L,ครีมชีส,50%,ทานที่ร้าน,เงินสด,95,95.0,13,เสร็จสิ้น
187,Q187,เจสซี่ สายทอง,,ชาเขียว,ร้อน,L,ไม่มี,100%,ทานที่ร้าน,QR Code,65,65.0,16,เสร็จสิ้น
188,Q188,ลูคัส เจริญพร,,ชาไทย,ร้อน,L,ครีมชีส,50%,ทานที่ร้าน,บัตร,85,85.0,15,เสร็จสิ้น
189,Q189,อเล็กซ์ ใจดี,,ชาเขียว,ปั่น,L,ไม่มี,75%,ทานที่ร้าน,เงินสด,75,75.0,15,เสร็จสิ้น
190,Q190,อเล็กซ์ ใจดี,,อเมริกาโน่,ร้อน,M,วิปครีม,75%,ทานที่ร้าน,เงินสด,70,70.0,7,เสร็จสิ้น
191,Q191,เจสซี่ รักเรียน,M027,มัทฉะลาเต้,ร้อน,L,ไข่มุก,75%,กลับบ้าน,บัตร,75,71.25,9,เสร็จสิ้น
192,Q192,ลีโอ วงศ์สว่าง,,สตรอว์เบอร์รี่โซดา,เย็น,L,ไข่มุก,50%,ทานที่ร้าน,QR Code,70,70.0,17,เสร็จสิ้น
193,Q193,คลาร่า รักเรียน,M013,สตรอว์เบอร์รี่โซดา,เย็น,L,ครีมชีส,0%,กลับบ้าน,QR Code,85,80.75,3,เสร็จสิ้น
194,Q194,ลูคัส สายทอง,M002,บลูฮาวายโซดา,ปั่น,L,วิปครีม,100%,กลับบ้าน,QR Code,85,80.75,12,เสร็จสิ้น
195,Q195,นิโคล รักเรียน,,ลาเต้,ร้อน,S,ครีมชีส,0%,กลับบ้าน,บัตร,70,70.0,5,เสร็จสิ้น
196,Q196,ลีโอ เจริญพร,M039,ชาเขียว,เย็น,S,ไม่มี,0%,กลับบ้าน,QR Code,50,47.5,9,เสร็จสิ้น
197,Q197,มายา สายทอง,M003,มอคค่า,เย็น,L,ครีมชีส,100%,ทานที่ร้าน,QR Code,95,90.25,11,เสร็จสิ้น
198,Q198,ลูคัส วงศ์สว่าง,,เอสเพรสโซ่,ปั่น,L,ครีมชีส,75%,กลับบ้าน,QR Code,100,100.0,14,เสร็จสิ้น
199,Q199,มายา ใจดี,,ชาไทย,เย็น,L,วิปครีม,75%,กลับบ้าน,เงินสด,85,85.0,11,เสร็จสิ้น
200,Q200,คลาร่า วงศ์สว่าง,M044,ช็อกโกแลต,เย็น,L,ไข่มุก,0%,ทานที่ร้าน,เงินสด,80,76.0,6,เสร็จสิ้น
201,Q201,ลูคัส วงศ์สว่าง,,นมสด,ร้อน,M,เจลลี่,75%,กลับบ้าน,QR Code,55,55.0,11,เสร็จสิ้น
202,Q202,ลีโอ วงศ์สว่าง,M030,คาปูชิโน่,ร้อน,M,เจลลี่,75%,ทานที่ร้าน,เงินสด,65,61.75,15,เสร็จสิ้น
203,Q203,คลาร่า วงศ์สว่าง,M007,ยูซุโซดา,ร้อน,S,วิปครีม,75%,กลับบ้าน,QR Code,55,52.25,6,เสร็จสิ้น
204,Q204,เจสซี่ รักเรียน,M058,อเมริกาโน่,ร้อน,S,ครีมชีส,75%,กลับบ้าน,บัตร,65,61.75,7,เสร็จสิ้น
205,Q205,นิโคล ใจดี,,คาปูชิโน่,เย็น,L,เจลลี่,75%,ทานที่ร้าน,เงินสด,80,80.0,6,เสร็จสิ้น
206,Q206,ลีโอ รักเรียน,M026,ชาไทย,เย็น,M,วิปครีม,50%,กลับบ้าน,บัตร,75,71.25,4,เสร็จสิ้น
207,Q207,ลูคัส รุ่งเรือง,M014,คาปูชิโน่,ปั่น,S,เจลลี่,75%,ทานที่ร้าน,บัตร,65,61.75,2,เสร็จสิ้น
208,Q208,มายา วงศ์สว่าง,M006,บลูฮาวายโซดา,ร้อน,S,ไข่มุก,25%,กลับบ้าน,บัตร,45,42.75,2,เสร็จสิ้น
209,Q209,ลีโอ รุ่งเรือง,,นมสด,ปั่น,S,วิปครีม,0%,กลับบ้าน,เงินสด,65,65.0,12,เสร็จสิ้น
210,Q210,ลีโอ มั่นคง,,ลาเต้,ปั่น,S,ไม่มี,0%,กลับบ้าน,บัตร,60,60.0,14,เสร็จสิ้น
211,Q211,นิโคล เจริญพร,,นมสด,ปั่น,S,วิปครีม,50%,กลับบ้าน,เงินสด,65,65.0,4,เสร็จสิ้น
212,Q212,ลีโอ รักเรียน,M022,ลาเต้,เย็น,S,เจลลี่,0%,กลับบ้าน,QR Code,60,57.0,4,เสร็จสิ้น
213,Q213,เจสซี่ ใจดี,,นมสด,เย็น,M,ไข่มุก,25%,กลับบ้าน,QR Code,60,60.0,6,เสร็จสิ้น
214,Q214,เจสซี่ มั่นคง,,เอสเพรสโซ่,ปั่น,S,ไข่มุก,25%,ทานที่ร้าน,บัตร,65,65.0,17,เสร็จสิ้น
215,Q215,มายา วงศ์สว่าง,,ชาเขียว,ปั่น,L,วิปครีม,75%,ทานที่ร้าน,เงินสด,90,90.0,12,เสร็จสิ้น
216,Q216,อเล็กซ์ วงศ์สว่าง,,คาปูชิโน่,เย็น,S,ไม่มี,25%,ทานที่ร้าน,บัตร,55,55.0,15,เสร็จสิ้น
217,Q217,ลีโอ สายทอง,M041,ลาเต้,ร้อน,M,ไม่มี,100%,กลับบ้าน,เงินสด,60,57.0,8,เสร็จสิ้น
218,Q218,อเล็กซ์ สายทอง,,มอคค่า,เย็น,M,วิปครีม,100%,ทานที่ร้าน,QR Code,80,80.0,5,เสร็จสิ้น
219,Q219,นิโคล รักเรียน,,ชาไทย,ปั่น,L,วิปครีม,50%,กลับบ้าน,เงินสด,90,90.0,15,เสร็จสิ้น
220,Q220,อเล็กซ์ รุ่งเรือง,,ยูซุโซดา,ร้อน,S,วิปครีม,50%,ทานที่ร้าน,เงินสด,55,55.0,8,เสร็จสิ้น
221,Q221,คลาร่า ใจดี,,มัทฉะลาเต้,เย็น,L,วิปครีม,75%,ทานที่ร้าน,เงินสด,90,90.0,7,เสร็จสิ้น
222,Q222,ลูคัส สายทอง,M002,นมสด,ร้อน,M,เจลลี่,0%,กลับบ้าน,บัตร,55,52.25,18,เสร็จสิ้น
223,Q223,อเล็กซ์ รักเรียน,,นมสด,ปั่น,L,ไข่มุก,25%,กลับบ้าน,QR Code,75,75.0,11,เสร็จสิ้น
224,Q224,มายา วงศ์สว่าง,M008,ลาเต้,ร้อน,M,ไม่มี,0%,กลับบ้าน,เงินสด,60,57.0,12,เสร็จสิ้น
225,Q225,อเล็กซ์ มั่นคง,M042,มอคค่า,เย็น,S,เจลลี่,50%,ทานที่ร้าน,เงินสด,60,57.0,16,เสร็จสิ้น
226,Q226,คลาร่า วงศ์สว่าง,,ลาเต้,ปั่น,S,ไข่มุก,100%,กลับบ้าน,เงินสด,65,65.0,4,เสร็จสิ้น
227,Q227,นิโคล รุ่งเรือง,M015,เอสเพรสโซ่,ร้อน,M,เจลลี่,0%,ทานที่ร้าน,เงินสด,65,61.75,9,เสร็จสิ้น
228,Q228,มายา มั่นคง,M033,อเมริกาโน่,เย็น,L,ไข่มุก,100%,ทานที่ร้าน,บัตร,75,71.25,5,เสร็จสิ้น
229,Q229,ลูคัส วงศ์สว่าง,,มอคค่า,เย็น,L,วิปครีม,50%,กลับบ้าน,เงินสด,90,90.0,6,เสร็จสิ้น
230,Q230,มายา รักเรียน,,บลูฮาวายโซดา,ปั่น,L,ไม่มี,0%,กลับบ้าน,QR Code,70,70.0,10,เสร็จสิ้น
231,Q231,อเล็กซ์ ใจดี,,คาปูชิโน่,ร้อน,S,ครีมชีส,100%,กลับบ้าน,บัตร,70,70.0,13,เสร็จสิ้น
232,Q232,เจสซี่ รุ่งเรือง,,มัทฉะลาเต้,ร้อน,L,เจลลี่,75%,ทานที่ร้าน,บัตร,75,75.0,11,เสร็จสิ้น
233,Q233,นิโคล รุ่งเรือง,M016,คาปูชิโน่,เย็น,L,เจลลี่,25%,กลับบ้าน,บัตร,80,76.0,18,เสร็จสิ้น
234,Q234,เจสซี่ รุ่งเรือง,,ยูซุโซดา,เย็น,M,ไข่มุก,100%,กลับบ้าน,QR Code,60,60.0,7,เสร็จสิ้น
235,Q235,คลาร่า สายทอง,,มอคค่า,ปั่น,M,ไม่มี,100%,กลับบ้าน,เงินสด,70,70.0,12,เสร็จสิ้น
236,Q236,เจสซี่ รุ่งเรือง,M046,ชาเขียว,เย็น,L,ครีมชีส,0%,ทานที่ร้าน,เงินสด,90,85.5,4,เสร็จสิ้น
237,Q237,นิโคล มั่นคง,M018,ยูซุโซดา,ปั่น,S,ไม่มี,100%,ทานที่ร้าน,บัตร,50,47.5,15,เสร็จสิ้น
238,Q238,ลีโอ ใจดี,,ยูซุโซดา,ปั่น,S,วิปครีม,50%,กลับบ้าน,QR Code,65,65.0,5,เสร็จสิ้น
239,Q239,มายา สายทอง,M003,เอสเพรสโซ่,ปั่น,S,ครีมชีส,25%,ทานที่ร้าน,เงินสด,80,76.0,9,เสร็จสิ้น
240,Q240,นิโคล รักเรียน,,ยูซุโซดา,ร้อน,S,เจลลี่,0%,ทานที่ร้าน,บัตร,45,45.0,2,เสร็จสิ้น
241,Q241,ลูคัส มั่นคง,M024,ลาเต้,เย็น,L,ครีมชีส,75%,กลับบ้าน,บัตร,95,90.25,15,เสร็จสิ้น
242,Q242,อเล็กซ์ ใจดี,,อเมริกาโน่,เย็น,S,ครีมชีส,75%,กลับบ้าน,เงินสด,70,70.0,10,เสร็จสิ้น
243,Q243,มายา สายทอง,M003,มัทฉะลาเต้,ปั่น,M,วิปครีม,0%,ทานที่ร้าน,เงินสด,85,80.75,9,เสร็จสิ้น
244,Q244,ลีโอ สายทอง,,มอคค่า,ปั่น,M,ไข่มุก,50%,ทานที่ร้าน,บัตร,75,75.0,6,เสร็จสิ้น
245,Q245,อเล็กซ์ เจริญพร,,เอสเพรสโซ่,ร้อน,S,ไม่มี,100%,กลับบ้าน,บัตร,50,50.0,14,เสร็จสิ้น
246,Q246,นิโคล วงศ์สว่าง,,ชาเขียว,ร้อน,L,วิปครีม,100%,ทานที่ร้าน,เงินสด,80,80.0,16,เสร็จสิ้น
247,Q247,อเล็กซ์ สายทอง,,บลูฮาวายโซดา,ปั่น,M,ไม่มี,75%,กลับบ้าน,QR Code,60,60.0,12,เสร็จสิ้น
248,Q248,คลาร่า ใจดี,,สตรอว์เบอร์รี่โซดา,ร้อน,M,ไม่มี,75%,ทานที่ร้าน,บัตร,50,50.0,16,เสร็จสิ้น
249,Q249,อเล็กซ์ รักเรียน,,บลูฮาวายโซดา,ร้อน,M,เจลลี่,50%,ทานที่ร้าน,บัตร,55,55.0,12,เสร็จสิ้น
250,Q250,ลูคัส รุ่งเรือง,M014,อเมริกาโน่,ร้อน,L,เจลลี่,25%,ทานที่ร้าน,บัตร,70,66.5,17,เสร็จสิ้น
251,Q251,อเล็กซ์ มั่นคง,M042,มัทฉะลาเต้,ปั่น,S,เจลลี่,25%,ทานที่ร้าน,QR Code,65,61.75,13,เสร็จสิ้น
252,Q252,อเล็กซ์ วงศ์สว่าง,,มอคค่า,ร้อน,L,ไม่มี,75%,กลับบ้าน,QR Code,70,70.0,10,เสร็จสิ้น
253,Q253,นิโคล เจริญพร,M029,สตรอว์เบอร์รี่โซดา,ปั่น,M,ไม่มี,25%,กลับบ้าน,เงินสด,60,57.0,13,เสร็จสิ้น
254,Q254,ลูคัส สายทอง,,คาปูชิโน่,ร้อน,S,ครีมชีส,50%,ทานที่ร้าน,บัตร,70,70.0,4,เสร็จสิ้น
255,Q255,ลูคัส เจริญพร,M049,สตรอว์เบอร์รี่โซดา,ร้อน,S,ไม่มี,75%,ทานที่ร้าน,เงินสด,40,38.0,16,เสร็จสิ้น
256,Q256,ลีโอ เจริญพร,,คาปูชิโน่,ปั่น,L,ไม่มี,100%,ทานที่ร้าน,เงินสด,80,80.0,7,เสร็จสิ้น
257,Q257,เจสซี่ ใจดี,,ช็อกโกแลต,เย็น,M,ครีมชีส,75%,กลับบ้าน,QR Code,85,85.0,18,เสร็จสิ้น
258,Q258,คลาร่า เจริญพร,M025,เอสเพรสโซ่,เย็น,S,ไม่มี,100%,ทานที่ร้าน,QR Code,55,52.25,11,เสร็จสิ้น
259,Q259,ลีโอ มั่นคง,,บลูฮาวายโซดา,เย็น,S,ครีมชีส,75%,ทานที่ร้าน,QR Code,65,65.0,14,เสร็จสิ้น
260,Q260,นิโคล ใจดี,,นมสด,เย็น,S,วิปครีม,25%,ทานที่ร้าน,QR Code,60,60.0,11,เสร็จสิ้น
261,Q261,ลีโอ ใจดี,,มอคค่า,ปั่น,S,เจลลี่,75%,ทานที่ร้าน,เงินสด,65,65.0,5,เสร็จสิ้น
262,Q262,เจสซี่ เจริญพร,,มอคค่า,เย็น,M,ครีมชีส,75%,กลับบ้าน,เงินสด,85,85.0,17,เสร็จสิ้น
263,Q263,เจสซี่ เจริญพร,,สตรอว์เบอร์รี่โซดา,เย็น,L,วิปครีม,25%,กลับบ้าน,เงินสด,80,80.0,14,เสร็จสิ้น
264,Q264,ลีโอ รักเรียน,M026,คาปูชิโน่,เย็น,L,ครีมชีส,75%,ทานที่ร้าน,เงินสด,95,90.25,8,เสร็จสิ้น
265,Q265,ลูคัส ใจดี,,ลาเต้,ร้อน,M,ไม่มี,75%,ทานที่ร้าน,เงินสด,60,60.0,3,เสร็จสิ้น
266,Q266,ลีโอ วงศ์สว่าง,M034,สตรอว์เบอร์รี่โซดา,เย็น,L,เจลลี่,25%,ทานที่ร้าน,เงินสด,70,66.5,16,เสร็จสิ้น
267,Q267,เจสซี่ วงศ์สว่าง,,ชาเขียว,ร้อน,L,ครีมชีส,0%,กลับบ้าน,เงินสด,85,85.0,15,เสร็จสิ้น
268,Q268,เจสซี่ รักเรียน,M058,ช็อกโกแลต,ร้อน,S,วิปครีม,25%,ทานที่ร้าน,บัตร,65,61.75,12,เสร็จสิ้น
269,Q269,ลูคัส มั่นคง,M004,เอสเพรสโซ่,ร้อน,S,ครีมชีส,0%,กลับบ้าน,เงินสด,70,66.5,14,เสร็จสิ้น
270,Q270,นิโคล สายทอง,,ช็อกโกแลต,ปั่น,M,ครีมชีส,0%,ทานที่ร้าน,เงินสด,90,90.0,7,เสร็จสิ้น
271,Q271,คลาร่า มั่นคง,,คาปูชิโน่,ปั่น,L,วิปครีม,100%,ทานที่ร้าน,เงินสด,95,95.0,12,เสร็จสิ้น
272,Q272,คลาร่า มั่นคง,,มัทฉะลาเต้,ปั่น,S,ไข่มุก,0%,กลับบ้าน,เงินสด,65,65.0,2,เสร็จสิ้น
273,Q273,คลาร่า วงศ์สว่าง,M007,ชาเขียว,เย็น,L,ไม่มี,0%,ทานที่ร้าน,QR Code,70,66.5,8,เสร็จสิ้น
274,Q274,ลูคัส รุ่งเรือง,,สตรอว์เบอร์รี่โซดา,เย็น,S,ไม่มี,75%,ทานที่ร้าน,บัตร,45,45.0,6,เสร็จสิ้น
275,Q275,อเล็กซ์ วงศ์สว่าง,M060,บลูฮาวายโซดา,เย็น,S,ครีมชีส,100%,ทานที่ร้าน,บัตร,65,61.75,8,เสร็จสิ้น
276,Q276,นิโคล เจริญพร,M029,อเมริกาโน่,ร้อน,L,ไข่มุก,25%,กลับบ้าน,เงินสด,70,66.5,15,เสร็จสิ้น
277,Q277,นิโคล ใจดี,,อเมริกาโน่,ปั่น,L,ไข่มุก,50%,กลับบ้าน,บัตร,80,80.0,5,เสร็จสิ้น
278,Q278,คลาร่า เจริญพร,,เอสเพรสโซ่,ปั่น,S,ครีมชีส,25%,ทานที่ร้าน,QR Code,80,80.0,7,เสร็จสิ้น
279,Q279,นิโคล รุ่งเรือง,,นมสด,เย็น,L,ไข่มุก,0%,ทานที่ร้าน,เงินสด,70,70.0,10,เสร็จสิ้น
280,Q280,ลีโอ รักเรียน,M022,ชาเขียว,ร้อน,M,ครีมชีส,100%,ทานที่ร้าน,QR Code,75,71.25,15,เสร็จสิ้น
281,Q281,คลาร่า ใจดี,,เอสเพรสโซ่,ร้อน,M,ไข่มุก,100%,กลับบ้าน,QR Code,65,65.0,15,เสร็จสิ้น
282,Q282,มายา สายทอง,M003,ชาไทย,ร้อน,M,ไข่มุก,100%,กลับบ้าน,บัตร,60,57.0,2,เสร็จสิ้น
283,Q283,อเล็กซ์ สายทอง,,ลาเต้,เย็น,S,ไม่มี,25%,ทานที่ร้าน,บัตร,55,55.0,15,เสร็จสิ้น
284,Q284,อเล็กซ์ รุ่งเรือง,M023,บลูฮาวายโซดา,เย็น,M,วิปครีม,75%,ทานที่ร้าน,เงินสด,70,66.5,13,เสร็จสิ้น
285,Q285,เจสซี่ สายทอง,,อเมริกาโน่,ร้อน,L,ครีมชีส,25%,กลับบ้าน,QR Code,85,85.0,18,เสร็จสิ้น
286,Q286,มายา มั่นคง,,คาปูชิโน่,ร้อน,L,ไม่มี,0%,ทานที่ร้าน,QR Code,70,70.0,8,เสร็จสิ้น
287,Q287,ลีโอ รุ่งเรือง,M048,ชาไทย,เย็น,L,ครีมชีส,25%,กลับบ้าน,บัตร,90,85.5,17,เสร็จสิ้น
288,Q288,นิโคล รุ่งเรือง,M040,อเมริกาโน่,ปั่น,S,ไม่มี,0%,กลับบ้าน,บัตร,55,52.25,17,เสร็จสิ้น
289,Q289,เจสซี่ วงศ์สว่าง,,มัทฉะลาเต้,ปั่น,S,ไม่มี,100%,กลับบ้าน,เงินสด,60,60.0,9,เสร็จสิ้น
290,Q290,มายา สายทอง,,บลูฮาวายโซดา,ร้อน,M,ครีมชีส,50%,ทานที่ร้าน,บัตร,70,70.0,6,เสร็จสิ้น
291,Q291,เจสซี่ ใจดี,,สตรอว์เบอร์รี่โซดา,ร้อน,S,ครีมชีส,0%,ทานที่ร้าน,บัตร,60,60.0,4,เสร็จสิ้น
292,Q292,มายา วงศ์สว่าง,M006,นมสด,เย็น,S,เจลลี่,50%,ทานที่ร้าน,QR Code,50,47.5,2,เสร็จสิ้น
293,Q293,มายา วงศ์สว่าง,M008,ลาเต้,ปั่น,M,ไข่มุก,75%,ทานที่ร้าน,QR Code,75,71.25,15,เสร็จสิ้น
294,Q294,คลาร่า เจริญพร,,นมสด,เย็น,L,เจลลี่,100%,กลับบ้าน,บัตร,70,70.0,17,เสร็จสิ้น
295,Q295,นิโคล เจริญพร,M009,ช็อกโกแลต,ปั่น,M,วิปครีม,25%,ทานที่ร้าน,QR Code,85,80.75,14,เสร็จสิ้น
296,Q296,มายา ใจดี,M043,นมสด,ปั่น,S,ไข่มุก,25%,ทานที่ร้าน,บัตร,55,52.25,6,เสร็จสิ้น
297,Q297,ลูคัส ใจดี,,เอสเพรสโซ่,เย็น,L,เจลลี่,50%,กลับบ้าน,บัตร,80,80.0,5,เสร็จสิ้น
298,Q298,ลีโอ สายทอง,M059,มอคค่า,ร้อน,M,ครีมชีส,25%,กลับบ้าน,บัตร,80,76.0,4,เสร็จสิ้น
299,Q299,คลาร่า สายทอง,,นมสด,เย็น,S,วิปครีม,100%,ทานที่ร้าน,บัตร,60,60.0,7,เสร็จสิ้น
300,Q300,ลีโอ สายทอง,,มอคค่า,ปั่น,M,ไม่มี,0%,กลับบ้าน,เงินสด,70,70.0,8,เสร็จสิ้น
